Date,4046,4225,4770,Bags,Total Volume,Average Price,Year,Month,MonthYear
2018-03-11,14089091.05,10758039.45,707578.82,14894893.8,40449603.12,1.09,2018,Mar,2018-03
2018-03-04,14439547.46,11289307.37,571747.72,14440611.5,40741214.05,1.07,2018,Mar,2018-03
2018-02-25,13829857.87,10415463.59,724330.16,15051877.14,40021528.76,1.06,2018,Feb,2018-02
2018-02-18,13262751.42,10491918.44,552969.73,12402247.9,36709887.49,1.08,2018,Feb,2018-02
2018-02-11,15870677.7,11541844.87,652856.58,15102426.94,43167806.09,0.97,2018,Feb,2018-02
2018-02-04,21620180.9,20445501.03,1066830.22,19373134.37,62505646.52,0.87,2018,Feb,2018-02
2018-01-28,14551799.5,12119884.61,575974.74,12923981.99,40171640.84,1.09,2018,Jan,2018-01
2018-01-21,14218843.83,13929702.12,928815.12,13862460.48,42939821.55,1.08,2018,Jan,2018-01
2018-01-14,12600918.24,11866197.84,652808.4,12180020.74,37299945.22,1.2,2018,Jan,2018-01
2018-01-07,13730992.75,10781339.21,677714.86,11513109.9,36703156.72,1.13,2018,Jan,2018-01
